Current state (shown on button),MFD truth before press,Push action,Expected Mode / Source Action,Cmd Message,Result on Chat Window,Result on MFD,Expected next shown state,Guards and error checks,Fallback or reversion,Andy Comment
OFF,"Tyres OFF, compound already Dry",ModeCycle,select DRY and send combined ON+compound command,TYRE CHANGE DRY,Sends #t tc 0$,"All four tyres ON, compound Dry",DRY,No compound-only command. Do not send #tc 0 by itself because it may not turn tyres ON if Dry is already selected/fitted.,"After settle, mirror MFD truth. If MFD still OFF, mode should return OFF without extra fighting.",Agree
OFF,"Tyres OFF, compound already Dry",SetDry,select DRY and send combined ON+compound command,TYRE CHANGE DRY,Sends #t tc 0$,"All four tyres ON, compound Dry",DRY,Same as ModeCycle OFF->DRY.,"After settle, mirror MFD truth.",Agree
OFF,"Tyres OFF, compound currently/fitted Dry",SetWet,select WET and send combined ON+compound command,TYRE CHANGE WET,Sends #t tc 2$,"All four tyres ON, compound Wet",WET,No separate #t then #tc sequence. One combined string only.,"After settle, mirror MFD truth.",Agree
DRY,"Tyres ON, compound Dry",ModeCycle,select WET and send combined ON+compound command,TYRE CHANGE WET,Sends #t tc 2$,"All four tyres ON, compound Wet",WET,Do not require retry loops. One send per button press/change.,"After settle, mirror MFD truth.",Agree
WET,"Tyres ON, compound Wet",SetDry,select DRY and send combined ON+compound command,TYRE CHANGE DRY,Sends #t tc 0$,"All four tyres ON, compound Dry",DRY,One combined string only.,"After settle, mirror MFD truth.",Agree
DRY,"Tyres ON, compound Dry",SetWet,select WET and send combined ON+compound command,TYRE CHANGE WET,Sends #t tc 2$,"All four tyres ON, compound Wet",WET,One combined string only.,"After settle, mirror MFD truth.",Agree
WET,"Tyres ON, compound Wet",ModeCycle,select AUTO only / arm AUTO,TYRE CHANGE AUTO,No command sent on entry,No immediate MFD change,AUTO,Entering AUTO should not send a tyre command. AUTO acts on declared-wet change or detected mismatch policy later.,Stay AUTO unless manual MFD takeover is detected.,Agree
any,any,SetAuto,select AUTO only / arm AUTO,TYRE CHANGE AUTO,No command sent on entry,No immediate MFD change,AUTO,No immediate correction on AUTO entry in this simplified model.,Stay AUTO unless manual MFD takeover is detected.,Agree
AUTO,Tyres ON or OFF,ModeCycle,select OFF and clear tyres,TYRE CHANGE OFF,Sends #cleartires$,"Tyres OFF, compound may revert to fitted/current compound",OFF,Single clear command only.,"After settle, mirror MFD truth.",Agree
DRY,"Tyres ON, compound Dry",SetOff,select OFF and clear tyres,TYRE CHANGE OFF,Sends #cleartires$,"Tyres OFF, compound may revert to fitted/current compound",OFF,Single clear command only.,"After settle, mirror MFD truth.",Agree
WET,"Tyres ON, compound Wet",SetOff,select OFF and clear tyres,TYRE CHANGE OFF,Sends #cleartires$,"Tyres OFF, compound may revert to fitted/current compound",OFF,Single clear command only.,"After settle, mirror MFD truth.",Agree
OFF,Tyres OFF,ModeCycle repeated rapidly,each press advances visible state only once and sends at most one command per press,Per resulting target,One clean command per press only,MFD follows last accepted command,State matching MFD after settle,No duplicate send bursts for a single button press.,"If truth cannot confirm, mirror MFD rather than resending repeatedly.",Agree
AUTO,DeclaredWet changes false -> true,Telemetry AUTO tick,AUTO sends wet target,TYRE AUTO CHANGE WET,Sends #t tc 2$,"All four tyres ON, compound Wet",AUTO,No retry loops; no false AUTO cancel from plugin-owned send.,"If MFD does not change, remain AUTO and report simple unconfirmed state only if needed.",Agree
AUTO,DeclaredWet changes true -> false,Telemetry AUTO tick,AUTO sends dry target,TYRE AUTO CHANGE DRY,Sends #t tc 0$,"All four tyres ON, compound Dry",AUTO,No retry loops; no false AUTO cancel from plugin-owned send.,"If MFD does not change, remain AUTO and report simple unconfirmed state only if needed.",Agree
AUTO,Driver manually clears tyres in MFD,Direct MFD input,cancel AUTO and mirror OFF,TYRE AUTO CANCELLED,No plugin command sent,Tyres remain OFF,OFF,AUTO should not fight manual MFD change.,Remap to concrete MFD truth.,Agree
AUTO,Driver manually changes compound to Dry in MFD,Direct MFD input,cancel AUTO and mirror DRY,TYRE AUTO CANCELLED,No plugin command sent,"Tyres ON, compound Dry",DRY,AUTO should not overwrite manual takeover.,Remap to concrete MFD truth.,Agree
AUTO,Driver manually changes compound to Wet in MFD,Direct MFD input,cancel AUTO and mirror WET,TYRE AUTO CANCELLED,No plugin command sent,"Tyres ON, compound Wet",WET,AUTO should not overwrite manual takeover.,Remap to concrete MFD truth.,Agree
OFF/DRY/WET,Driver manually clears tyres in MFD outside AUTO,Direct MFD input,mirror MFD truth to OFF,TYRE OFF,No command sent,Tyres OFF,OFF,Manual truth following only; no fighting the MFD.,Mirror MFD.,Agree
OFF/DRY/WET,Driver manually selects all tyres ON + Dry outside AUTO,Direct MFD input,mirror MFD truth to DRY,TYRE DRY,No command sent,"Tyres ON, compound Dry",DRY,Manual truth following only; no plugin correction command.,Mirror MFD.,Agree
OFF/DRY/WET,Driver manually selects all tyres ON + Wet outside AUTO,Direct MFD input,mirror MFD truth to WET,TYRE WET,No command sent,"Tyres ON, compound Wet",WET,Manual truth following only; no plugin correction command.,Mirror MFD.,Agree
any,iRacing chat already open before button press,ModeCycle/SetDry/SetWet/SetOff,send normal command without opener leak,Target feedback for action,Clean command only: #t tc 0 / #t tc 2 / #cleartires,MFD follows command,State matching MFD after settle,No leading t/tt. No stuck unsubmitted chat text.,"If command does not submit cleanly, classify as transport issue and do not add tyre logic guards.",Agree
any,Transport failure / no visible chat send,Any tyre plugin action,do not loop or spam retries,PIT CMD FAIL only for clear transport failure,No command or failed send,No change expected,Mirror MFD truth after settle,Keep failure handling simple. No retry loops.,"Mirror MFD; do not keep forcing stale target. Suppress passive mirror feedback briefly after failed send so PIT CMD FAIL remains visible.",Agree
